nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation
TRULS-MOREGARD,12099,12106,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,d3,,,-39.72864456176758,-94.99630975723267,2,TRULS-MOREGARD,FAN-ZHENDONG,-57.45940246582031,139.69508310953776,100,12099,-43.96014614105225,45.26909713745117,2,12100,
FAN-ZHENDONG,12107,12121,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g2,,poussette,-71.25627262592316,64.88691139221191,2,FAN-ZHENDONG,TRULS-MOREGARD,-54.08564567565918,-183.58719813028972,100,12111,,,,,
TRULS-MOREGARD,12122,12133,garcon,revers,1,att/att,TRULS-MOREGARD,,intermediaire,m3,,topspin,22.752540588378906,-95.18809585571289,2,TRULS-MOREGARD,FAN-ZHENDONG,-71.92237956523896,6.53060474395752,100,12124,,,,,
FAN-ZHENDONG,12134,12148,garcon,revers,1,att/att,serveur_point_contre,,offensif,d2,pt_gagne,topspin,40.84173011779785,63.23688112894694,2,FAN-ZHENDONG,TRULS-MOREGARD,59.418487548828125,-275.19089686075847,100,12142,,,,,
TRULS-MOREGARD,12585,12630,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,d2,,,-52.881917572021486,-84.58472035725912,2,TRULS-MOREGARD,FAN-ZHENDONG,-69.36359755992889,61.66412798563639,100,12618,-67.46821312904358,58.436728159586586,2,12623,
FAN-ZHENDONG,12631,12644,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,d3,,poussette,39.83115196228027,91.53574155171712,2,FAN-ZHENDONG,TRULS-MOREGARD,-38.0173225402832,-169.09810179074606,100,12635,,,,,
TRULS-MOREGARD,12645,12655,garcon,coup_droit,1,att/att,TRULS-MOREGARD,,offensif,d2,,topspin,-48.77028579711914,-84.60045102437337,2,TRULS-MOREGARD,FAN-ZHENDONG,83.09052886962891,103.20235684712728,100,12650,,,,,
FAN-ZHENDONG,12656,12670,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,intermediaire,d3,,bloc,51.38261184692383,103.76399218241373,2,FAN-ZHENDONG,TRULS-MOREGARD,-166.1634162902832,-323.9366107940674,100,12660,,,,,
TRULS-MOREGARD,12671,12679,garcon,revers,1,att/att,TRULS-MOREGARD,,intermediaire,m3,,bloc,15.50615234375,-115.97075033187866,2,TRULS-MOREGARD,FAN-ZHENDONG,66.12552871704102,66.02268994649252,100,12671,,,,,
FAN-ZHENDONG,12680,12704,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,filet,topspin,,,,FAN-ZHENDONG,TRULS-MOREGARD,-3.5243759155273438,-279.61732018788655,100,12690,,,,,
