nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,coor_frappe_x,coor_frappe_y,coor_frappe_z,time_frappe,premier_rebond_x,premier_rebond_y,premier_rebond_z,time_premier_rebond,probleme_annotation
MA-LONG,4732,4746,garcon,coup_droit,1,att/att,MA-LONG,,intermediaire,g3,,topspin,33.38787002563477,-111.69407102266948,2,MA-LONG,ALEXIS-LEBRUN,13.164021682739257,279.2051958719889,100,4737,,,,,
ALEXIS-LEBRUN,4747,4757,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,g2,,bloc,-52.03907270431519,89.40267702738444,2,ALEXIS-LEBRUN,MA-LONG,-9.447539520263671,-177.49570633570355,100,4747,,,,,
MA-LONG,4758,4777,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,MA-LONG,ALEXIS-LEBRUN,-164.81909294128417,282.91435826619465,100,4764,,,,,
MA-LONG,5246,5271,garcon,coup_droit,1,att/att,MA-LONG,lat_droit,,m1,,,-12.590457153320312,-35.99718411763509,2,MA-LONG,ALEXIS-LEBRUN,-146.38274955749512,188.06728515625,100,5257,-54.53587951660156,104.95804214477539,2,5261,
ALEXIS-LEBRUN,5272,5286,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,7.815234375,49.08495979309082,2,ALEXIS-LEBRUN,MA-LONG,-43.41914653778076,-81.433944384257,100,5277,,,,,
MA-LONG,5287,5301,garcon,coup_droit,1,att/att,MA-LONG,,defensif,d2,,poussette,-51.01256904602051,-59.29605286916097,2,MA-LONG,ALEXIS-LEBRUN,-13.488228607177735,93.13074061075847,100,5291,,,,,
ALEXIS-LEBRUN,5302,5322,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,,out,flip,,,,ALEXIS-LEBRUN,MA-LONG,-118.41203289031982,-111.2547577381134,100,5307,,,,,
ALEXIS-LEBRUN,5728,5744,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,33.41834754943848,54.532003784179686,2,ALEXIS-LEBRUN,MA-LONG,-52.43933572769165,-189.85424887339275,100,5731,-3.6587234497070313,-100.7138693968455,2,5734,
MA-LONG,5745,5757,garcon,coup_droit,1,att/att,MA-LONG,,intermediaire,m3,,flip,1.0688514709472656,-106.06804496447245,2,MA-LONG,ALEXIS-LEBRUN,25.04679145812988,112.02152976989746,100,5750,,,,,
ALEXIS-LEBRUN,5758,5766,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,g2,,topspin,-57.570411682128906,71.52060165405274,2,ALEXIS-LEBRUN,MA-LONG,-39.09603481292724,-155.3285157998403,100,5759,,,,,
MA-LONG,5767,5775,garcon,revers,1,att/att,MA-LONG,,intermediaire,m3,,topspin,3.4709152221679687,-104.44061555862427,2,MA-LONG,ALEXIS-LEBRUN,-119.02269592285157,162.28634185791014,100,5768,,,,,
ALEXIS-LEBRUN,5776,5783,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,-46.51959314346313,110.17956097920735,2,ALEXIS-LEBRUN,MA-LONG,-9.536464309692382,-184.6834017753601,100,5777,,,,,
MA-LONG,5784,5791,garcon,revers,1,att/att,MA-LONG,,intermediaire,m2,,topspin,1.4509693145751954,-75.96842600504557,2,MA-LONG,ALEXIS-LEBRUN,-103.69244527816772,222.7884735107422,100,5785,,,,,
ALEXIS-LEBRUN,5792,5807,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,MA-LONG,-29.488943099975586,-202.38151718775433,100,5795,,,,,
ALEXIS-LEBRUN,6241,6277,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,g3,,,-46.70379009246826,93.45920321146647,2,ALEXIS-LEBRUN,MA-LONG,28.06076850891113,-171.92015821139017,100,6267,46.51618118286133,-122.80410726865132,2,6268,
MA-LONG,6278,6287,garcon,revers,1,att/att,MA-LONG,,intermediaire,m3,,topspin,12.49367561340332,-134.79191838701567,2,MA-LONG,ALEXIS-LEBRUN,-107.30003280639649,147.63713633219402,100,6280,,,,,
ALEXIS-LEBRUN,6288,6310,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,ALEXIS-LEBRUN,MA-LONG,-50.98217849731445,-294.91001103719077,100,6293,,,,,
MA-LONG,6772,6820,garcon,coup_droit,1,att/att,MA-LONG,lat_droit,,d2,,,-27.75181484222412,-53.99006226857503,2,MA-LONG,ALEXIS-LEBRUN,-130.84574642181397,195.3330416361491,100,6807,-51.972897338867185,95.50763918558756,2,6811,
ALEXIS-LEBRUN,6821,6833,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,-6.434504699707031,66.05051040649414,2,ALEXIS-LEBRUN,MA-LONG,-38.35426044464111,-90.05757710138957,100,6823,,,,,
MA-LONG,6834,6847,garcon,coup_droit,1,att/att,MA-LONG,,defensif,d2,,poussette,-27.976380920410158,-73.17313610712687,2,MA-LONG,ALEXIS-LEBRUN,-20.95190601348877,95.3743901570638,100,6836,,,,,
ALEXIS-LEBRUN,6848,6856,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,-49.0739049911499,118.10391502380371,2,ALEXIS-LEBRUN,MA-LONG,-86.89660897254944,-119.58962470690409,100,6852,,,,,
MA-LONG,6857,6869,garcon,revers,1,att/att,MA-LONG,,intermediaire,m3,,bloc,-8.484428024291992,-99.64627230962118,2,MA-LONG,ALEXIS-LEBRUN,-92.06605815887451,226.81235376993814,100,6858,,,,,
ALEXIS-LEBRUN,6870,6881,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,g3,,bloc,-36.00650539398193,116.52865333557129,2,ALEXIS-LEBRUN,MA-LONG,-36.56906032562256,-157.96243352890014,100,6871,,,,,
MA-LONG,6882,6900,garcon,coup_droit,1,att/att,MA-LONG,,offensif,m2,,topspin,-5.949321365356445,-90.80452248255412,2,MA-LONG,ALEXIS-LEBRUN,-55.1357141494751,299.88515243530276,100,6893,,,,,
ALEXIS-LEBRUN,6901,6911,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,ALEXIS-LEBRUN,MA-LONG,-50.214048862457275,-225.1831844965617,100,6903,,,,,
MA-LONG,7371,7393,garcon,coup_droit,1,att/att,MA-LONG,lat_gauche,,d2,,,-27.82094554901123,-59.89517701466878,2,MA-LONG,ALEXIS-LEBRUN,-109.89255390167236,186.77667363484701,100,7381,-62.69601998329163,96.58117446899413,2,7384,
ALEXIS-LEBRUN,7394,7405,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,intermediaire,g3,,flip,-43.658317184448244,131.13814023335775,2,ALEXIS-LEBRUN,MA-LONG,-43.552896118164064,-93.38509661356608,100,7396,,,,,
MA-LONG,7406,7415,garcon,revers,1,att/att,MA-LONG,,intermediaire,m2,,topspin,11.00303840637207,-69.75559206008911,2,MA-LONG,ALEXIS-LEBRUN,-78.39181337356567,176.61846033732095,100,7407,,,,,
ALEXIS-LEBRUN,7416,7423,garcon,revers,1,att/att,serveur_point_contre,,offensif,d3,pt_gagne,topspin,43.37274169921875,123.78730227152506,2,ALEXIS-LEBRUN,MA-LONG,-11.793025970458984,-170.65023565292358,100,7418,,,,,
ALEXIS-LEBRUN,7806,7820,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,g2,,,-41.873291015625,56.697017415364584,2,ALEXIS-LEBRUN,MA-LONG,0.16215057373046876,-177.48962659835814,100,7807,6.100940704345703,-84.27341690063477,2,7811,
MA-LONG,7821,7834,garcon,revers,1,att/att,MA-LONG,,defensif,d2,,poussette,-27.855496406555176,-62.84685465494792,2,MA-LONG,ALEXIS-LEBRUN,-84.84519166946411,90.93644320170084,100,7824,,,,,
ALEXIS-LEBRUN,7835,7849,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,g3,,poussette,-48.90713567733765,133.3642822265625,2,ALEXIS-LEBRUN,MA-LONG,-48.914740562438965,-107.23909557660421,100,7838,,,,,
MA-LONG,7850,7860,garcon,coup_droit,1,att/att,MA-LONG,,intermediaire,g2,,topspin,51.34503860473633,-89.60247217814127,2,MA-LONG,ALEXIS-LEBRUN,-89.20960841178893,226.21375223795573,100,7853,,,,,
ALEXIS-LEBRUN,7861,7868,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,-30.726008033752443,127.91641947428386,2,ALEXIS-LEBRUN,MA-LONG,41.09716873168945,-195.9440726598104,100,7862,,,,,
MA-LONG,7869,7879,garcon,revers,1,att/att,MA-LONG,,intermediaire,g3,,bloc,55.31359634399414,-113.7603912671407,2,MA-LONG,ALEXIS-LEBRUN,-118.39342021942139,235.60166803995767,100,7870,,,,,
ALEXIS-LEBRUN,7880,7891,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,intermediaire,m2,,topspin,19.88400764465332,72.59061800638834,2,ALEXIS-LEBRUN,MA-LONG,39.752903366088866,-291.4012709299723,100,7886,,,,,
MA-LONG,7892,7902,garcon,coup_droit,1,att/att,MA-LONG,,offensif,d3,,topspin,-54.28943920135498,-118.20117993354798,2,MA-LONG,ALEXIS-LEBRUN,-127.16025276184082,272.12423553466795,100,7897,,,,,
ALEXIS-LEBRUN,7903,7918,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,out,topspin,,,,ALEXIS-LEBRUN,MA-LONG,-165.79485931396485,-307.07983347574867,100,7906,,,,,
ALEXIS-LEBRUN,8261,8273,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,29.13981056213379,74.63436787923177,2,ALEXIS-LEBRUN,MA-LONG,14.48971061706543,-159.89394996960957,100,8262,58.05492095947265,-72.84231303532918,2,8264,
MA-LONG,8274,8288,garcon,coup_droit,1,att/att,MA-LONG,,defensif,m2,,poussette,-18.18110408782959,-90.1856653213501,2,MA-LONG,ALEXIS-LEBRUN,-6.036281967163086,98.2396188100179,100,8276,,,,,
ALEXIS-LEBRUN,8289,8298,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,m3,,topspin,22.811582183837892,118.01703923543295,2,ALEXIS-LEBRUN,MA-LONG,-87.09263181686401,-139.70644940932593,100,8293,,,,,
MA-LONG,8299,8313,garcon,coup_droit,1,att/att,MA-LONG,,intermediaire,g2,,bloc,47.39460067749023,-61.0743324915568,2,MA-LONG,ALEXIS-LEBRUN,8.520261764526367,290.80756454467775,100,8302,,,,,
ALEXIS-LEBRUN,8314,8326,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,g2,,bloc,-71.01629338264465,83.43526674906413,2,ALEXIS-LEBRUN,MA-LONG,12.882606506347656,-105.08344761530559,100,8315,,,,,
MA-LONG,8327,8339,garcon,revers,1,att/att,MA-LONG,,offensif,g3,,topspin,33.52181167602539,-101.97625325520833,2,MA-LONG,ALEXIS-LEBRUN,-192.1833068847656,142.24707463582357,100,8335,,,,,
ALEXIS-LEBRUN,8340,8358,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,ALEXIS-LEBRUN,MA-LONG,36.612921142578124,-200.8349034309387,100,8341,,,,,
